,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title
21,0.491,0.879,6,-2.722,0,0.0652,0.391,0.0,0.342,0.571,160.092,audio_features,2BlDX1yfT0ea5wo0vjCKKa,spotify:track:2BlDX1yfT0ea5wo0vjCKKa,https://api.spotify.com/v1/tracks/2BlDX1yfT0ea5wo0vjCKKa,https://api.spotify.com/v1/audio-analysis/2BlDX1yfT0ea5wo0vjCKKa,252133,4,光るなら
22,0.646,0.677,0,-9.477,0,0.0432,0.0337,2e-06,0.13,0.588,128.125,audio_features,3x4378ztiLvFmm2nuzEI0C,spotify:track:3x4378ztiLvFmm2nuzEI0C,https://api.spotify.com/v1/tracks/3x4378ztiLvFmm2nuzEI0C,https://api.spotify.com/v1/audio-analysis/3x4378ztiLvFmm2nuzEI0C,245093,4,A Cruel Angel's Thesis (Director's Edit Version)
23,0.684,0.815,8,-3.826,0,0.0496,0.322,0.0,0.12,0.819,138.104,audio_features,4xeWELPxBZKhhCrUr84jmp,spotify:track:4xeWELPxBZKhhCrUr84jmp,https://api.spotify.com/v1/tracks/4xeWELPxBZKhhCrUr84jmp,https://api.spotify.com/v1/audio-analysis/4xeWELPxBZKhhCrUr84jmp,254640,4,DADDY ! DADDY ! DO !
24,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,audio_features,0qMip0B2D4ePEjBJvAtYre,spotify:track:0qMip0B2D4ePEjBJvAtYre,https://api.spotify.com/v1/tracks/0qMip0B2D4ePEjBJvAtYre,https://api.spotify.com/v1/audio-analysis/0qMip0B2D4ePEjBJvAtYre,237587,4,紅蓮華
25,0.621,0.9,11,-3.302,1,0.0605,0.00397,0.0,0.0787,0.817,131.971,audio_features,6bfjEGSR7DyC8MK8cp3ZCp,spotify:track:6bfjEGSR7DyC8MK8cp3ZCp,https://api.spotify.com/v1/tracks/6bfjEGSR7DyC8MK8cp3ZCp,https://api.spotify.com/v1/audio-analysis/6bfjEGSR7DyC8MK8cp3ZCp,253227,4,シュガーソングとビターステップ
26,0.633,0.839,0,-6.302,0,0.0488,0.0281,0.00124,0.0823,0.371,160.018,audio_features,15St0qWPnH4xKflV39vk28,spotify:track:15St0qWPnH4xKflV39vk28,https://api.spotify.com/v1/tracks/15St0qWPnH4xKflV39vk28,https://api.spotify.com/v1/audio-analysis/15St0qWPnH4xKflV39vk28,209899,4,Koino Uta
27,0.411,0.894,4,-3.815,0,0.0465,2.36e-05,0.000447,0.447,0.195,99.607,audio_features,7CSTVNXkW2AbmNktlP1hi2,spotify:track:7CSTVNXkW2AbmNktlP1hi2,https://api.spotify.com/v1/tracks/7CSTVNXkW2AbmNktlP1hi2,https://api.spotify.com/v1/audio-analysis/7CSTVNXkW2AbmNktlP1hi2,258707,4,Touch off
28,0.613,0.857,7,-5.272,1,0.0271,0.0686,7.93e-05,0.256,0.698,147.974,audio_features,7FpABRyv5TaZz0llkhjPgc,spotify:track:7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/tracks/7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/audio-analysis/7FpABRyv5TaZz0llkhjPgc,250792,4,色香水
29,0.477,0.924,11,-2.997,0,0.0758,0.0477,0.0,0.0571,0.269,146.964,audio_features,3COSRKvFPnpnnorNF4oaMf,spotify:track:3COSRKvFPnpnnorNF4oaMf,https://api.spotify.com/v1/tracks/3COSRKvFPnpnnorNF4oaMf,https://api.spotify.com/v1/audio-analysis/3COSRKvFPnpnnorNF4oaMf,284080,4,This game
30,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,audio_features,1di1C0QI6Y92yZPYn6XYAZ,spotify:track:1di1C0QI6Y92yZPYn6XYAZ,https://api.spotify.com/v1/tracks/1di1C0QI6Y92yZPYn6XYAZ,https://api.spotify.com/v1/audio-analysis/1di1C0QI6Y92yZPYn6XYAZ,240133,4,シルエット
