track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
forro,41.826,190709.814,0.018,0.6497759999999999,0.789526,5.284,-5.1222010000000004,0.665,0.05718910000000001,0.39757555,0.0012565736,0.2949711,0.7606934,140.362197,3.99
french,41.067,207590.143,0.219,0.6514675999999999,0.5949901999999999,5.491,-8.850678,0.482,0.1266466,0.34971259679,0.15883940872,0.1744812,0.42993950000000003,117.82008599999999,3.928
funk,32.322,212797.631,0.304,0.678184,0.632999,5.199,-6.503946,0.564,0.15164850000000002,0.29965703309999997,0.00779820822,0.18055690000000002,0.5996525,117.755823,4.011
garage,40.933,199813.419,0.095,0.48426440000000004,0.7443500000000001,5.49,-6.553586,0.678,0.0659337,0.16750723035999998,0.18986973912,0.2126866,0.5180332,127.048215,3.948
german,26.751,214749.559,0.127,0.5243375,0.53171768,5.291,-11.318736000000001,0.56,0.0975087,0.38183399837000004,0.28890127507,0.1963818,0.37907799999999997,117.503453,3.88
gospel,41.639,313218.041,0.0,0.473298,0.5762564,5.291,-7.195495,0.829,0.0412708,0.37689054299999997,0.00330670977,0.2986686,0.3206412,125.62512699999999,3.927
goth,28.913,253361.042,0.066,0.478875,0.7409699202000001,5.206,-7.161212000000001,0.558,0.0730923,0.16407584244,0.11941419645000001,0.2303572,0.443546,124.267599,3.941
grindcore,14.625,133753.507,0.153,0.2718537,0.924201,5.207,-6.238013,0.633,0.1374715,0.0086983045,0.53845566901,0.28123469999999995,0.2164336,119.22991499999999,3.798
groove,37.825,251868.1,0.097,0.5839099999999999,0.7636218,5.558,-6.408986,0.528,0.0707264,0.1316428056,0.14554150927,0.2311153,0.42647250000000003,123.739211,3.941
grunge,49.594,235579.061,0.072,0.457062,0.80329,5.255,-5.66096,0.659,0.0610544,0.05344148973,0.036983488950000004,0.22212610000000002,0.400373,129.349208,3.915
guitar,29.526,212319.332,0.002,0.5400374,0.3249991859,5.049,-14.050918,0.691,0.0514369,0.773052655,0.5161544192899999,0.14967429999999998,0.4322858,112.00023900000001,3.776
happy,21.716,241986.185,0.126,0.552847,0.910971,5.755,-5.416665,0.571,0.1198609,0.0572435269,0.26364107856999996,0.28414280000000003,0.32746749999999997,152.908962,3.976
